Previous Crop,Soil Type,Moisture Level,Nitrogen (N),Phosphorus (P),Potassium (K),Recommended Crop
Rice,Silt,23,328,137,556,Sorghum
Rice,Silt,18,246,20,440,Sorghum
Tobacco,Saline,21,288,56,312,Millets
Maize,Clayey,19,260,86,463,Rice
Groundnut,Clayey,26,139,37,320,Millets
Millets,Sandy,18,280,81,189,Millets
Groundnut,Clayey,24,156,9,793,Millets
Millets,Silt,24,249,30,59,Millets
Cotton,Silt,25,56,130,150,Millets
Soybean,Loamy,40,393,33,43,Millets
Wheat,Silt,23,383,29,105,Cotton
Cotton,Loamy,21,262,138,514,Millets
Millets,Sandy,27,377,49,569,Millets
Rice,Loamy,34,239,43,105,Wheat
Maize,Sandy,33,41,120,538,Cotton
Barley,Sandy,39,158,138,245,Millets
Cotton,Loamy,20,4,1,97,Millets
Groundnut,Loamy,37,332,113,303,Millets
Soybean,Sandy,26,183,101,12,Millets
Barley,Silt,19,34,77,84,Millets
Millets,Clayey,28,397,3,368,Millets
Rice,Silt,37,63,64,548,Sorghum
Soybean,Loamy,13,258,75,20,Millets
Groundnut,Clayey,15,197,97,847,Millets
Soybean,Clayey,25,185,10,253,Millets
Rice,Silt,25,383,48,63,Sorghum
Millets,Sandy,27,369,33,803,Millets
Soybean,Clayey,10,325,132,464,Millets
Millets,Sandy,32,1,93,307,Millets
Groundnut,Sandy,21,313,87,616,Millets
Tobacco,Silt,36,262,55,721,Millets
Soybean,Saline,20,52,99,285,Millets
Rice,Loamy,16,106,98,180,Wheat
Barley,Saline,11,324,19,67,Millets
Wheat,Silt,19,350,21,311,Cotton
Wheat,Saline,34,220,11,376,Cotton
Wheat,Saline,40,57,113,131,Cotton
Cotton,Silt,24,367,3,795,Millets
Cotton,Clayey,21,82,123,690,Millets
Groundnut,Loamy,16,4,145,831,Millets
Millets,Saline,11,84,146,271,Millets
Groundnut,Clayey,21,59,129,774,Millets
Barley,Clayey,32,171,66,13,Millets
Groundnut,Sandy,29,264,115,299,Millets
Cotton,Saline,20,295,101,867,Millets
Barley,Silt,16,54,110,582,Millets
Groundnut,Loamy,19,308,96,15,Millets
Wheat,Sandy,32,353,21,683,Soybean
Wheat,Saline,16,30,144,891,Cotton
Tobacco,Loamy,33,369,54,658,Millets
Rice,Clayey,33,98,112,428,Wheat
Cotton,Saline,17,387,74,875,Millets
Millets,Clayey,20,216,9,0,Millets
Maize,Sandy,16,59,107,189,Cotton
Wheat,Silt,39,319,83,599,Cotton
Barley,Silt,31,38,114,105,Millets
Rice,Clayey,26,335,60,386,Wheat
Groundnut,Silt,30,282,125,369,Millets
Cotton,Sandy,25,141,104,773,Millets
Maize,Saline,15,98,150,835,Rice
Soybean,Loamy,16,156,42,630,Millets
Cotton,Clayey,24,374,142,590,Millets
Rice,Silt,19,289,144,432,Sorghum
Maize,Loamy,16,134,108,406,Cotton
Groundnut,Clayey,13,304,102,463,Millets
Wheat,Clayey,40,205,122,448,Cotton
Groundnut,Silt,35,237,37,352,Millets
Millets,Loamy,39,265,45,41,Millets
Rice,Silt,22,51,119,441,Sorghum
Sorghum,Clayey,34,242,48,339,Millets
Tobacco,Loamy,39,14,114,443,Millets
Soybean,Loamy,35,210,63,603,Millets
Tobacco,Silt,30,149,110,460,Millets
Rice,Silt,30,119,124,140,Sorghum
Groundnut,Silt,31,172,93,652,Millets
Tobacco,Silt,18,120,119,826,Millets
Cotton,Silt,39,182,84,614,Millets
Tobacco,Sandy,36,89,74,742,Millets
Rice,Loamy,39,10,83,633,Wheat
Soybean,Saline,27,332,103,728,Millets
Rice,Clayey,39,373,52,656,Wheat
Groundnut,Saline,24,396,56,801,Millets
Sorghum,Loamy,13,295,98,900,Millets
Cotton,Saline,17,181,9,228,Millets
Maize,Silt,38,80,85,351,Rice
Tobacco,Saline,40,262,15,253,Millets
Groundnut,Silt,16,357,26,42,Millets
Groundnut,Loamy,11,305,22,20,Millets
Rice,Saline,12,140,83,313,Sorghum
Cotton,Saline,23,302,150,841,Millets
Sorghum,Sandy,11,143,93,114,Millets
Soybean,Silt,13,4,1,396,Millets
Rice,Saline,21,250,112,422,Sorghum
Maize,Clayey,22,344,137,645,Rice
Soybean,Silt,27,350,4,357,Millets
Maize,Sandy,25,323,22,300,Cotton
Millets,Clayey,11,115,64,159,Millets
Millets,Sandy,23,120,50,812,Millets
Cotton,Clayey,36,224,111,295,Millets
Maize,Loamy,31,161,148,708,Cotton
Soybean,Saline,19,100,134,650,Millets
Cotton,Sandy,22,280,10,817,Millets
Rice,Silt,27,324,84,356,Sorghum
Maize,Silt,34,310,76,383,Rice
Cotton,Sandy,36,209,24,421,Millets
Sorghum,Sandy,20,2,7,670,Millets
Barley,Sandy,33,30,1,681,Millets
Tobacco,Silt,26,205,69,860,Millets
Millets,Silt,13,275,68,73,Millets
Wheat,Clayey,35,12,11,663,Cotton
Wheat,Silt,28,177,75,586,Cotton
Maize,Saline,19,101,109,408,Rice
Sorghum,Sandy,23,132,53,563,Millets
Soybean,Saline,35,106,43,277,Millets
Maize,Loamy,21,6,139,266,Cotton
Wheat,Saline,16,242,46,144,Cotton
Soybean,Silt,37,79,101,9,Millets
Wheat,Sandy,26,58,37,878,Soybean
Tobacco,Silt,30,80,107,337,Millets
Tobacco,Sandy,12,223,133,762,Millets
Cotton,Saline,30,260,134,847,Millets
Groundnut,Loamy,26,40,3,111,Millets
Wheat,Clayey,39,163,73,191,Cotton
Soybean,Clayey,40,399,40,362,Millets
Tobacco,Saline,13,48,108,91,Millets
Barley,Saline,17,157,99,376,Millets
Cotton,Saline,18,139,25,69,Millets
Groundnut,Silt,23,123,88,460,Millets
Tobacco,Saline,17,186,129,118,Millets
Soybean,Clayey,27,85,0,895,Millets
Soybean,Sandy,31,242,103,229,Millets
Millets,Silt,33,129,7,433,Millets
Groundnut,Loamy,27,174,75,874,Millets
Wheat,Loamy,11,236,54,281,Cotton
Cotton,Clayey,35,203,26,402,Millets
Millets,Saline,33,207,116,617,Millets
Sorghum,Loamy,10,269,29,525,Millets
Rice,Silt,13,30,73,523,Sorghum
Groundnut,Loamy,36,73,143,432,Millets
Sorghum,Saline,27,305,51,804,Millets
Tobacco,Loamy,33,162,126,630,Millets
Barley,Silt,29,378,144,874,Millets
Barley,Loamy,32,315,136,498,Millets
Rice,Saline,25,399,97,547,Sorghum
Soybean,Silt,29,372,107,543,Millets
Cotton,Loamy,37,104,65,255,Millets
Cotton,Loamy,29,138,94,389,Millets
Cotton,Silt,31,385,147,413,Millets
Groundnut,Clayey,21,264,91,870,Millets
Millets,Loamy,24,97,132,320,Millets
Wheat,Loamy,39,368,51,560,Cotton
Groundnut,Loamy,28,392,50,874,Millets
Rice,Saline,39,360,112,44,Sorghum
Maize,Sandy,25,193,70,475,Cotton
Maize,Clayey,10,71,113,442,Rice
Soybean,Silt,27,350,146,692,Millets
Millets,Loamy,32,314,123,174,Millets
Tobacco,Loamy,11,163,62,442,Millets
Millets,Loamy,37,347,85,205,Millets
Groundnut,Loamy,33,305,22,48,Millets
Barley,Sandy,17,333,59,643,Millets
Wheat,Sandy,37,208,130,380,Soybean
Barley,Saline,15,169,146,515,Millets
Soybean,Saline,33,93,139,773,Millets
Maize,Sandy,20,385,87,153,Cotton
Maize,Saline,21,252,104,12,Rice
Tobacco,Saline,24,261,27,469,Millets
Tobacco,Saline,34,160,110,68,Millets
Maize,Silt,18,182,85,306,Rice
Maize,Sandy,24,210,10,634,Cotton
Groundnut,Sandy,11,239,93,352,Millets
Soybean,Clayey,20,7,46,761,Millets
Rice,Saline,34,200,86,327,Sorghum
Millets,Saline,32,175,32,504,Millets
Soybean,Sandy,20,220,41,824,Millets
Barley,Loamy,10,160,105,657,Millets
Tobacco,Clayey,21,161,47,863,Millets
Wheat,Silt,33,231,78,778,Cotton
Sorghum,Clayey,27,260,64,666,Millets
Wheat,Sandy,14,75,97,627,Soybean
Maize,Sandy,29,103,22,240,Cotton
Millets,Loamy,24,100,128,46,Millets
Maize,Clayey,10,351,73,295,Rice
Maize,Clayey,24,279,72,511,Rice
Sorghum,Clayey,31,298,84,844,Millets
Tobacco,Saline,16,346,49,808,Millets
Maize,Silt,31,236,135,519,Rice
Millets,Loamy,37,179,16,39,Millets
Rice,Silt,11,167,38,497,Sorghum
Groundnut,Saline,35,355,2,260,Millets
Tobacco,Saline,17,391,132,797,Millets
Tobacco,Clayey,20,91,79,328,Millets
Millets,Sandy,17,361,19,192,Millets
Barley,Sandy,15,39,115,254,Millets
Soybean,Saline,29,110,145,538,Millets
Wheat,Loamy,22,363,61,60,Cotton
Soybean,Clayey,39,159,100,168,Millets
Millets,Saline,27,142,129,855,Millets
Tobacco,Silt,31,19,144,818,Millets
Sorghum,Silt,10,370,148,194,Millets
Maize,Loamy,28,277,135,553,Cotton
Tobacco,Saline,16,85,104,686,Millets
Cotton,Loamy,40,168,21,247,Millets
Sorghum,Sandy,18,135,141,705,Millets
Soybean,Sandy,17,289,98,355,Millets
Barley,Loamy,17,341,109,424,Millets
Barley,Loamy,14,43,103,384,Millets
Groundnut,Saline,32,242,43,793,Millets
Millets,Saline,21,328,20,749,Millets
Cotton,Loamy,28,186,23,307,Millets
Groundnut,Saline,36,154,92,766,Millets
Millets,Silt,37,254,149,204,Millets
Rice,Silt,12,222,95,549,Sorghum
Wheat,Silt,37,54,53,289,Cotton
Cotton,Loamy,31,96,3,605,Millets
Soybean,Saline,11,389,121,780,Millets
Sorghum,Silt,40,108,25,192,Millets
Cotton,Clayey,15,237,78,780,Millets
Tobacco,Saline,39,358,77,394,Millets
Tobacco,Saline,20,107,96,397,Millets
Soybean,Saline,13,281,1,142,Millets
Sorghum,Sandy,19,46,3,315,Millets
Cotton,Clayey,20,346,37,391,Millets
Soybean,Saline,31,283,138,362,Millets
Maize,Sandy,37,95,46,760,Cotton
Cotton,Silt,35,235,130,627,Millets
Sorghum,Sandy,36,231,137,103,Millets
Maize,Clayey,40,382,115,519,Rice
Barley,Saline,10,265,10,517,Millets
Rice,Clayey,14,333,20,270,Wheat
Cotton,Clayey,28,246,24,602,Millets
Soybean,Sandy,28,163,14,691,Millets
Wheat,Silt,34,369,148,371,Cotton
Rice,Clayey,20,254,42,535,Wheat
Cotton,Clayey,32,264,52,723,Millets
Wheat,Silt,14,377,70,566,Cotton
Tobacco,Silt,21,80,33,696,Millets
Soybean,Loamy,27,38,120,16,Millets
Cotton,Sandy,38,40,135,288,Millets
Tobacco,Loamy,14,304,132,161,Millets
Maize,Silt,38,97,49,524,Rice
Millets,Loamy,22,178,17,152,Millets
Rice,Saline,34,232,134,354,Sorghum
Rice,Loamy,24,131,14,436,Wheat
Millets,Loamy,38,185,10,323,Millets
Soybean,Silt,13,382,4,8,Millets
Barley,Sandy,19,256,12,131,Millets
Tobacco,Silt,28,119,71,216,Millets
Millets,Silt,37,378,71,484,Millets
Millets,Clayey,29,379,12,557,Millets
Cotton,Silt,10,50,149,660,Millets
Groundnut,Loamy,32,114,117,255,Millets
Barley,Saline,18,285,34,653,Millets
Soybean,Saline,11,257,80,436,Millets
Tobacco,Loamy,26,6,13,760,Millets
Groundnut,Silt,24,366,90,398,Millets
Rice,Sandy,40,73,144,404,Sorghum
Wheat,Silt,38,121,0,392,Cotton
Maize,Sandy,40,271,136,689,Cotton
Barley,Clayey,13,233,54,503,Millets
Soybean,Loamy,15,225,144,334,Millets
Groundnut,Clayey,32,291,119,544,Millets
Tobacco,Loamy,17,20,69,10,Millets
Cotton,Sandy,40,253,1,323,Millets
Millets,Loamy,37,288,50,828,Millets
Wheat,Loamy,10,175,35,843,Cotton
Barley,Sandy,32,266,87,673,Millets
Barley,Silt,13,112,144,836,Millets
Tobacco,Loamy,40,397,149,183,Millets
Maize,Loamy,25,216,113,626,Cotton
Cotton,Clayey,37,355,119,742,Millets
Rice,Sandy,11,67,21,502,Sorghum
Groundnut,Sandy,38,78,90,245,Millets
Cotton,Saline,19,205,140,834,Millets
Wheat,Sandy,19,70,36,386,Soybean
Rice,Clayey,29,326,18,657,Wheat
Groundnut,Loamy,20,2,93,739,Millets
Groundnut,Clayey,13,134,134,253,Millets
Tobacco,Silt,21,60,76,614,Millets
Sorghum,Saline,31,3,111,22,Millets
Groundnut,Sandy,18,190,20,418,Millets
Barley,Clayey,38,304,148,343,Millets
Cotton,Sandy,37,186,1,407,Millets
Soybean,Saline,37,261,83,185,Millets
Soybean,Sandy,35,246,6,110,Millets
Rice,Silt,23,383,145,31,Sorghum
Tobacco,Clayey,32,67,9,870,Millets
Rice,Clayey,32,225,30,406,Wheat
Groundnut,Silt,39,12,50,93,Millets
Sorghum,Loamy,19,186,45,316,Millets
Groundnut,Clayey,11,332,101,897,Millets
Maize,Sandy,13,175,81,892,Cotton
Millets,Clayey,27,68,64,803,Millets
Soybean,Loamy,25,267,19,510,Millets
Wheat,Saline,33,392,142,854,Cotton
Millets,Silt,40,183,47,610,Millets
Rice,Sandy,31,396,139,333,Sorghum
Sorghum,Clayey,27,157,105,544,Millets
Cotton,Silt,29,360,64,670,Millets
Cotton,Loamy,23,20,50,57,Millets
Soybean,Loamy,14,167,124,545,Millets
Sorghum,Loamy,35,321,77,768,Millets
Soybean,Saline,29,346,61,825,Millets
Groundnut,Clayey,17,327,124,187,Millets
Wheat,Loamy,36,275,45,224,Cotton
Cotton,Loamy,25,94,9,779,Millets
Cotton,Saline,20,4,127,835,Millets
Cotton,Silt,39,4,44,806,Millets
Barley,Clayey,23,61,60,430,Millets
Maize,Sandy,14,130,3,51,Cotton
Sorghum,Sandy,29,381,21,605,Millets
Tobacco,Clayey,16,274,147,55,Millets
Tobacco,Loamy,35,375,112,683,Millets
Tobacco,Saline,21,5,96,652,Millets
Tobacco,Sandy,13,153,12,508,Millets
Maize,Silt,31,76,111,899,Rice
Soybean,Saline,13,197,39,829,Millets
Tobacco,Clayey,19,15,73,637,Millets
Rice,Clayey,22,35,130,81,Wheat
Cotton,Saline,10,199,60,136,Millets
Wheat,Sandy,10,252,104,637,Soybean
Maize,Loamy,26,249,6,104,Cotton
Millets,Sandy,40,138,131,488,Millets
Millets,Silt,34,189,104,619,Millets
Soybean,Saline,23,278,43,204,Millets
Cotton,Sandy,20,277,122,268,Millets
Sorghum,Loamy,14,135,37,825,Millets
Millets,Sandy,29,312,139,772,Millets
Millets,Loamy,24,216,91,414,Millets
Barley,Loamy,21,286,50,398,Millets
Millets,Clayey,17,322,81,46,Millets
Groundnut,Silt,15,292,93,531,Millets
Tobacco,Saline,36,379,59,43,Millets
Sorghum,Clayey,20,317,128,562,Millets
Cotton,Sandy,28,359,83,898,Millets
Soybean,Loamy,16,146,74,369,Millets
Maize,Sandy,37,302,25,576,Cotton
Tobacco,Clayey,30,13,19,300,Millets
Wheat,Silt,12,389,47,270,Cotton
Sorghum,Loamy,23,270,66,221,Millets
Soybean,Silt,31,133,74,134,Millets
Tobacco,Saline,32,314,35,305,Millets
Barley,Silt,31,343,68,332,Millets
Rice,Sandy,11,148,84,434,Sorghum
Sorghum,Saline,10,202,19,503,Millets
Sorghum,Loamy,33,379,2,74,Millets
Groundnut,Silt,34,137,139,384,Millets
Millets,Clayey,28,180,17,623,Millets
Millets,Silt,37,228,109,30,Millets
Cotton,Clayey,17,120,42,304,Millets
Sorghum,Silt,26,8,31,227,Millets
Millets,Clayey,33,100,108,81,Millets
Sorghum,Sandy,22,295,66,715,Millets
Sorghum,Sandy,38,285,64,490,Millets
Sorghum,Saline,29,215,37,249,Millets
Groundnut,Sandy,32,95,100,175,Millets
Millets,Saline,12,107,28,109,Millets
Groundnut,Saline,39,399,60,565,Millets
Groundnut,Silt,22,205,114,855,Millets
Cotton,Clayey,30,264,81,257,Millets
Tobacco,Saline,13,78,90,106,Millets
Barley,Loamy,35,177,96,467,Millets
Cotton,Loamy,20,59,130,440,Millets
Tobacco,Silt,20,275,128,571,Millets
Groundnut,Sandy,34,137,119,513,Millets
Soybean,Silt,10,225,24,430,Millets
Wheat,Saline,11,72,114,386,Cotton
Cotton,Silt,37,374,38,216,Millets
Millets,Sandy,34,26,25,179,Millets
Groundnut,Clayey,24,307,138,682,Millets
Cotton,Saline,11,205,2,59,Millets
Groundnut,Silt,30,59,46,656,Millets
Tobacco,Saline,35,261,16,252,Millets
Maize,Silt,17,189,34,707,Rice
Tobacco,Silt,24,143,58,133,Millets
Rice,Silt,32,241,116,46,Sorghum
Cotton,Sandy,16,259,77,119,Millets
Sorghum,Sandy,37,223,34,886,Millets
Barley,Loamy,20,358,54,722,Millets
Wheat,Saline,10,284,131,888,Cotton
Tobacco,Saline,23,28,1,568,Millets
Tobacco,Silt,27,86,102,37,Millets
Tobacco,Silt,21,315,132,143,Millets
Sorghum,Clayey,40,316,126,451,Millets
Maize,Loamy,18,123,98,535,Cotton
Wheat,Sandy,39,234,66,140,Soybean
Barley,Silt,16,232,98,442,Millets
Soybean,Sandy,38,199,93,368,Millets
Wheat,Clayey,29,274,130,368,Cotton
Sorghum,Loamy,27,355,91,741,Millets
Sorghum,Silt,10,80,32,525,Millets
Barley,Silt,21,399,113,610,Millets
Rice,Saline,25,137,136,661,Sorghum
Groundnut,Saline,37,364,48,878,Millets
Tobacco,Saline,17,48,134,773,Millets
Groundnut,Saline,34,109,123,228,Millets
Sorghum,Clayey,31,75,117,522,Millets
Soybean,Silt,12,338,119,754,Millets
Soybean,Silt,16,73,4,585,Millets
Groundnut,Saline,14,135,4,534,Millets
Barley,Clayey,38,181,143,676,Millets
Rice,Saline,38,164,51,500,Sorghum
Groundnut,Clayey,20,76,12,818,Millets
Tobacco,Loamy,14,68,109,272,Millets
Sorghum,Silt,25,124,76,225,Millets
Cotton,Clayey,32,302,102,238,Millets
Tobacco,Silt,18,47,45,799,Millets
Millets,Sandy,25,51,54,627,Millets
Wheat,Silt,25,68,47,218,Cotton
Maize,Saline,11,158,110,844,Rice
Sorghum,Silt,18,325,128,865,Millets
Tobacco,Saline,30,33,49,456,Millets
Maize,Sandy,35,342,8,217,Cotton
Groundnut,Sandy,30,290,145,423,Millets
Sorghum,Saline,10,234,126,761,Millets
Groundnut,Saline,18,392,59,476,Millets
Groundnut,Loamy,34,17,114,483,Millets
Sorghum,Loamy,12,80,146,283,Millets
Barley,Sandy,33,333,39,717,Millets
Barley,Silt,30,190,55,379,Millets
Millets,Sandy,16,238,137,688,Millets
Sorghum,Saline,20,10,50,40,Millets
Groundnut,Loamy,19,214,122,595,Millets
Maize,Saline,40,350,65,48,Rice
Tobacco,Clayey,31,344,24,820,Millets
Maize,Loamy,24,177,47,837,Cotton
Soybean,Saline,27,314,96,99,Millets
Millets,Clayey,26,77,138,643,Millets
Soybean,Sandy,19,11,18,67,Millets
Rice,Clayey,15,26,126,508,Wheat
Tobacco,Sandy,38,227,109,661,Millets
Maize,Silt,40,174,87,692,Rice
Groundnut,Saline,29,204,14,386,Millets
Cotton,Saline,39,324,1,405,Millets
Maize,Silt,17,395,25,568,Rice
Sorghum,Silt,25,149,32,776,Millets
Cotton,Loamy,36,220,67,672,Millets
Wheat,Saline,12,300,90,483,Cotton
Millets,Silt,29,227,88,623,Millets
Tobacco,Saline,33,108,127,353,Millets
Tobacco,Loamy,10,198,18,4,Millets
Soybean,Saline,22,0,136,797,Millets
Barley,Sandy,29,30,18,683,Millets
Barley,Loamy,37,241,130,493,Millets
Tobacco,Clayey,21,162,37,251,Millets
Rice,Clayey,11,329,64,340,Wheat
Barley,Loamy,38,128,49,819,Millets
Wheat,Saline,27,147,4,353,Cotton
Rice,Clayey,26,175,115,731,Wheat
Cotton,Loamy,26,315,60,887,Millets
Cotton,Loamy,34,344,92,74,Millets
Barley,Silt,15,106,128,489,Millets
Soybean,Clayey,29,132,83,588,Millets
Soybean,Clayey,12,41,147,535,Millets
Soybean,Sandy,23,238,143,660,Millets
Cotton,Saline,39,10,45,831,Millets
Barley,Silt,31,358,115,122,Millets
Cotton,Sandy,34,14,26,201,Millets
Groundnut,Sandy,31,305,52,328,Millets
Tobacco,Sandy,26,249,112,837,Millets
Soybean,Loamy,36,308,45,804,Millets
Maize,Saline,36,297,46,614,Rice
Barley,Silt,17,43,88,894,Millets
Groundnut,Loamy,35,253,57,804,Millets
Groundnut,Loamy,27,104,83,63,Millets
Groundnut,Clayey,18,70,85,635,Millets
Groundnut,Saline,28,140,62,846,Millets
Millets,Sandy,32,319,131,143,Millets
Soybean,Loamy,16,355,21,479,Millets
Wheat,Saline,27,114,23,586,Cotton
Soybean,Clayey,11,224,116,739,Millets
Wheat,Loamy,15,329,108,573,Cotton
Tobacco,Saline,31,3,103,22,Millets
Barley,Silt,19,63,19,107,Millets
Sorghum,Clayey,12,287,12,843,Millets
Barley,Loamy,20,376,66,376,Millets
Rice,Saline,16,34,58,393,Sorghum
Cotton,Clayey,32,164,68,271,Millets
Groundnut,Loamy,13,80,138,765,Millets
Rice,Clayey,31,142,134,304,Wheat
Barley,Clayey,18,92,74,157,Millets
Cotton,Saline,30,265,63,857,Millets
Wheat,Silt,18,160,17,206,Cotton
Barley,Saline,37,369,14,315,Millets
Barley,Silt,36,145,112,317,Millets
Groundnut,Clayey,36,220,26,718,Millets
Soybean,Loamy,15,123,3,559,Millets
Millets,Silt,21,349,15,327,Millets
Barley,Silt,24,171,97,834,Millets
Millets,Sandy,19,63,45,476,Millets
Cotton,Saline,23,186,70,615,Millets
Groundnut,Saline,17,151,113,746,Millets
Cotton,Clayey,32,336,134,84,Millets
Cotton,Sandy,14,311,81,717,Millets
Barley,Loamy,25,307,36,177,Millets
Rice,Sandy,31,353,132,524,Sorghum
Tobacco,Saline,33,339,59,685,Millets
Groundnut,Clayey,35,75,44,112,Millets
Wheat,Clayey,28,238,42,435,Cotton
Wheat,Clayey,26,356,79,119,Cotton
Rice,Clayey,40,364,138,242,Wheat
Groundnut,Loamy,22,238,126,169,Millets
Tobacco,Silt,22,308,30,556,Millets
Cotton,Silt,29,112,63,658,Millets
Wheat,Clayey,37,7,137,74,Cotton
Soybean,Loamy,16,128,48,480,Millets
Millets,Clayey,26,391,92,303,Millets
Barley,Loamy,13,147,68,18,Millets
Wheat,Sandy,24,9,20,818,Soybean
Barley,Clayey,30,372,36,792,Millets
Millets,Clayey,38,259,16,599,Millets
Barley,Saline,10,389,134,154,Millets
Rice,Saline,35,352,116,121,Sorghum
Wheat,Clayey,35,372,147,765,Cotton
Tobacco,Clayey,27,278,120,636,Millets
Groundnut,Sandy,20,143,141,813,Millets
Groundnut,Silt,19,53,116,541,Millets
Maize,Clayey,20,80,150,850,Rice
Rice,Loamy,40,335,54,51,Wheat
Barley,Silt,37,156,94,33,Millets
Millets,Saline,11,35,146,815,Millets
Rice,Clayey,19,59,74,694,Wheat
Barley,Clayey,30,356,139,724,Millets
Rice,Sandy,32,223,6,505,Sorghum
Tobacco,Sandy,22,36,132,878,Millets
Millets,Sandy,24,216,27,321,Millets
Rice,Clayey,11,243,106,131,Wheat
Millets,Sandy,16,255,60,181,Millets
Tobacco,Sandy,23,275,54,688,Millets
Cotton,Saline,30,220,81,534,Millets
Barley,Silt,28,169,124,896,Millets
Maize,Clayey,22,18,107,609,Rice
Maize,Clayey,40,320,110,326,Rice
Groundnut,Saline,22,393,17,886,Millets
Soybean,Loamy,28,337,72,18,Millets
Maize,Saline,23,101,61,223,Rice
Millets,Clayey,34,399,70,758,Millets
Barley,Silt,36,158,48,598,Millets
Groundnut,Sandy,38,35,115,530,Millets
Cotton,Clayey,40,18,71,882,Millets
Soybean,Sandy,16,279,107,331,Millets
Wheat,Silt,31,68,95,330,Cotton
Wheat,Silt,13,73,127,358,Cotton
Wheat,Sandy,14,235,75,689,Soybean
Soybean,Sandy,37,198,72,717,Millets
Maize,Silt,25,173,103,333,Rice
Tobacco,Sandy,29,371,147,236,Millets
Cotton,Loamy,11,242,77,245,Millets
Millets,Loamy,33,157,125,168,Millets
Millets,Sandy,13,400,53,290,Millets
Tobacco,Loamy,31,49,75,806,Millets
Sorghum,Sandy,37,108,13,78,Millets
Millets,Saline,29,20,95,236,Millets
Wheat,Sandy,25,14,9,102,Soybean
Tobacco,Clayey,15,343,23,160,Millets
Cotton,Silt,16,338,4,181,Millets
Groundnut,Sandy,17,371,16,342,Millets
Groundnut,Clayey,33,23,9,598,Millets
Wheat,Saline,25,158,88,589,Cotton
Tobacco,Loamy,13,1,121,830,Millets
Rice,Loamy,33,32,17,397,Wheat
Millets,Loamy,11,83,12,83,Millets
Groundnut,Sandy,15,107,20,738,Millets
Maize,Sandy,32,111,33,596,Cotton
Tobacco,Silt,33,247,85,75,Millets
Rice,Clayey,32,159,73,289,Wheat
Millets,Loamy,22,54,31,424,Millets
Millets,Silt,15,350,67,687,Millets
Barley,Clayey,10,182,19,726,Millets
Groundnut,Silt,24,246,0,807,Millets
Soybean,Saline,35,324,63,717,Millets
Cotton,Saline,28,249,148,539,Millets
Tobacco,Silt,32,255,135,818,Millets
Sorghum,Sandy,28,325,122,439,Millets
Groundnut,Sandy,37,100,112,416,Millets
Groundnut,Saline,27,175,61,443,Millets
Wheat,Loamy,18,156,131,648,Cotton
Soybean,Saline,40,13,113,222,Millets
Tobacco,Saline,29,120,42,506,Millets
Maize,Silt,27,228,55,424,Rice
Wheat,Silt,23,38,60,696,Cotton
Wheat,Sandy,34,280,146,153,Soybean
Barley,Sandy,29,338,64,224,Millets
Millets,Clayey,33,23,22,648,Millets
Groundnut,Sandy,12,119,145,104,Millets
Maize,Saline,35,348,82,697,Rice
Maize,Silt,25,100,34,763,Rice
Maize,Silt,38,226,27,191,Rice
Wheat,Clayey,11,128,8,463,Cotton
Soybean,Silt,31,215,101,432,Millets
Soybean,Saline,36,351,34,584,Millets
Barley,Silt,32,109,137,89,Millets
Cotton,Silt,20,76,137,766,Millets
Soybean,Saline,26,166,74,784,Millets
Millets,Silt,27,291,134,28,Millets
Wheat,Silt,27,179,41,73,Cotton
Rice,Sandy,28,147,104,574,Sorghum
Sorghum,Loamy,34,110,76,22,Millets
Millets,Silt,37,243,89,551,Millets
Barley,Sandy,19,272,144,58,Millets
Cotton,Saline,15,146,121,459,Millets
Millets,Sandy,33,121,35,429,Millets
Sorghum,Clayey,13,8,10,61,Millets
Sorghum,Sandy,35,38,143,91,Millets
Soybean,Sandy,18,131,15,398,Millets
Barley,Loamy,24,381,53,6,Millets
Barley,Saline,39,400,35,302,Millets
Soybean,Clayey,27,366,140,738,Millets
Maize,Silt,20,190,130,866,Rice
Wheat,Clayey,21,182,27,667,Cotton
Maize,Silt,23,329,32,1,Rice
Barley,Sandy,35,366,13,695,Millets
Maize,Loamy,26,183,102,99,Cotton
Wheat,Silt,18,215,97,434,Cotton
Millets,Clayey,10,238,18,88,Millets
Tobacco,Loamy,25,287,69,380,Millets
Tobacco,Silt,14,337,6,701,Millets
Maize,Clayey,11,389,28,315,Rice
Wheat,Clayey,36,355,56,473,Cotton
Barley,Loamy,22,16,103,627,Millets
Tobacco,Saline,38,319,102,433,Millets
Wheat,Clayey,24,178,37,461,Cotton
Maize,Sandy,36,286,81,136,Cotton
Wheat,Loamy,12,399,92,208,Cotton
Soybean,Loamy,32,296,70,343,Millets
Sorghum,Silt,13,337,97,225,Millets
Sorghum,Silt,14,127,63,251,Millets
Barley,Sandy,35,204,68,59,Millets
Barley,Loamy,10,105,53,723,Millets
Tobacco,Clayey,26,10,40,515,Millets
Maize,Loamy,25,81,89,622,Cotton
Maize,Sandy,26,289,74,500,Cotton
Groundnut,Sandy,12,84,43,351,Millets
Sorghum,Saline,21,180,57,322,Millets
Cotton,Silt,29,362,124,850,Millets
Rice,Sandy,12,233,46,694,Sorghum
Millets,Clayey,20,341,128,219,Millets
Rice,Silt,37,312,56,720,Sorghum
Rice,Saline,34,7,143,441,Sorghum
Barley,Saline,38,44,103,722,Millets
